Year,Month,Incident,Victims,City,Prime minister
2012,jan,khyber agency bombing,30,FATA,Syed Yousaf Raza Gillani
2012,jan,Rahim yar khan,18,rahim yar khan,Syed Yousaf Raza Gillani
2012,feb,Kohistan shia massacre,18,KPK,Syed Yousaf Raza Gillani
2012,aug,Mansehra shia massacre,25,gilgit baltistan,Raja Pervez Ashraf
2012,dec,Bacha Khan International Airport attack,9,peshawar,Raja Pervez Ashraf
2012,dec,Dera Ismail Khan bombing,8,Dera Ismail Khan ,Raja Pervez Ashraf
2012,dec,murder of shahzeb khan,1,karachi,Raja Pervez Ashraf
2013,jan,pakistan bombing,130,quetta,Raja Pervez Ashraf
2013,feb,quetta bombing,91,quetta,Raja Pervez Ashraf
2013,mar,karachi bombing,48,karachi,Raja Pervez Ashraf
2013,may,pakistan election day bombing,10,quaidabad,Mir Hazar Khan Khoso (Caretaker)
2013,may,Syed Janan election rally bombing,25,hangu,Mir Hazar Khan Khoso (Caretaker)
2013,jun,karachi bombing,9,karachi,Mr. Muhammad Nawaz Sharif
2013,jun,mardan funeral suicide bombing,34,mardan,Mr. Muhammad Nawaz Sharif
2013,jun,nanga parbat massacre,11,gilgit baltistan,Mr. Muhammad Nawaz Sharif
2013,jun,pakistan bombing,52,quetta,Mr. Muhammad Nawaz Sharif
2013,jun,peshawar mosque attack,15,peshawar,Mr. Muhammad Nawaz Sharif
2013,jun,Quaid-e-Azam Residency attack,1,quetta ,Mr. Muhammad Nawaz Sharif
2013,jun,quetta attacks,26,quetta,Mr. Muhammad Nawaz Sharif
2013,jul,dera ismail khan prison attack,5,Dera Ismail Khan ,Mr. Muhammad Nawaz Sharif
2013,jul,lahore bombing,5,lahore,Mr. Muhammad Nawaz Sharif
2013,jul,parachinar bombing,57,parachinar,Mr. Muhammad Nawaz Sharif
2013,aug,karachi bombing,11,karachi,Mr. Muhammad Nawaz Sharif
2013,aug,quetta bombing,31,quetta,Mr. Muhammad Nawaz Sharif
2013,aug,quetta shooting,10,quetta,Mr. Muhammad Nawaz Sharif
2013,sep,Peshawar church bombing,127,peshawar,Mr. Muhammad Nawaz Sharif
2013,sep,qissa khwani bazaar bombing,41,peshawar,Mr. Muhammad Nawaz Sharif
2014,jan,atizaz hassan,1,Hangu,Mr. Muhammad Nawaz Sharif
2014,jan,chaudary aslam khan,1,karachi,Mr. Muhammad Nawaz Sharif
2014,jan,mastung bus bombing,22,mastung,Mr. Muhammad Nawaz Sharif
2014,jan,Rawalpindi suicide bombing,14,Rawalpindi,Mr. Muhammad Nawaz Sharif
2014,feb,peshawar cinema bombing,20,peshawar,Mr. Muhammad Nawaz Sharif
2014,mar,islamabad court attack,11,islamabad,Mr. Muhammad Nawaz Sharif
2014,may,farzana parveen iqbal,1,lahore,Mr. Muhammad Nawaz Sharif
2014,may,rashid rehman,1,Multan,Mr. Muhammad Nawaz Sharif
2014,jun,jinnah international airport attack,36,karachi,Mr. Muhammad Nawaz Sharif
2014,aug,Attack on the Online International News Network,3,Attack,Mr. Muhammad Nawaz Sharif
2014,nov,Wagah border suicide attack,60,lahore,Mr. Muhammad Nawaz Sharif
2014,dec,peshawar school massacre,149,peshawar,Mr. Muhammad Nawaz Sharif
2015,jan,shikarpur bombing,61,shikarpur,Mr. Muhammad Nawaz Sharif
2015,feb,peshawar mosque attack,19,peshawar,Mr. Muhammad Nawaz Sharif
2015,mar,lahore church bombing,15,lahore,Mr. Muhammad Nawaz Sharif
2015,may,karachi bus shooting,46,karachi,Mr. Muhammad Nawaz Sharif
2015,may,mastung bus attack,22,mastung,Mr. Muhammad Nawaz Sharif
2015,aug,attock bombing,19,attock,Mr. Muhammad Nawaz Sharif
2015,aug,shuja khanzada,1,attock,Mr. Muhammad Nawaz Sharif
2015,sep,camp badaber attack,29,badaber,Mr. Muhammad Nawaz Sharif
2015,oct,jacobabad bombing,23,jacobabad,Mr. Muhammad Nawaz Sharif
2015,oct,quetta bus bombing,11,quetta,Mr. Muhammad Nawaz Sharif
2015,oct,taunsa sharif bombing,7,taunsa sharif,Mr. Muhammad Nawaz Sharif
2015,dec,mardan suicide bombing,26,mardan,Mr. Muhammad Nawaz Sharif
2015,dec,parachinar bombing,25,parachinar,Mr. Muhammad Nawaz Sharif
2016,jan,Bacha Khan University attack,22,charsadda,Mr. Muhammad Nawaz Sharif
2016,jan,quetta suicide bombing ,15,quetta,Mr. Muhammad Nawaz Sharif
2016,mar,lahore bombing,75,lahore,Mr. Muhammad Nawaz Sharif
2016,mar,peshawar bus bombing,15,peshawar,Mr. Muhammad Nawaz Sharif
2016,jul,samia shahid,1,pandori,Mr. Muhammad Nawaz Sharif
2016,aug,quetta attacks,70,quetta,Mr. Muhammad Nawaz Sharif
2016,sep,mohmand mosque bombing,36,butmaina,Mr. Muhammad Nawaz Sharif
2016,oct,Quetta police training college attack,61,Quetta,Mr. Muhammad Nawaz Sharif
2016,nov,khuzdar bombing,55,khuzdar,Mr. Muhammad Nawaz Sharif
2017,jan,parachinar bombing,25,parachinar,Mr. Muhammad Nawaz Sharif
2017,feb,charsadda sucide bombing,7,charsadda,Mr. Muhammad Nawaz Sharif
2017,feb,hayatabad sucide bombing,2,hayatabad,Mr. Muhammad Nawaz Sharif
2017,feb,lahore bombing,18,lahore,Mr. Muhammad Nawaz Sharif
2017,mar,parachinar sucide bombing,24,parachinar,Mr. Muhammad Nawaz Sharif
2017,apr,lahore bombing,8,lahore,Mr. Muhammad Nawaz Sharif
2017,apr,Sargodha shrine massacre,20,Sargodha,Mr. Muhammad Nawaz Sharif
2017,may,gawadar labour shooting,10,gawadar,Mr. Muhammad Nawaz Sharif
2017,may,mastung sucide bombing,28,mastung,Mr. Muhammad Nawaz Sharif
2017,jun,pakistan attacks,96,pakistan,Mr. Muhammad Nawaz Sharif
2017,jun,zarghoon road killing,1,zarghoon,Mr. Muhammad Nawaz Sharif
